bridge_id,inspection_year,bridge_age_years,years_since_rehab,adt_x,adtt_percent_x,annual_rainfall_mm_x,avg_temp_c_x,monsoon_intensity_x,flood_risk_score_x,deck_condition,superstructure_condition,substructure_condition,overall_condition,data_source,state,district,latitude,longitude,road_class,year_built,material,structure_type,num_spans,max_span_m,total_length_m,deck_width_m,num_lanes,adt_y,adtt_percent_y,annual_rainfall_mm_y,avg_temp_c_y,monsoon_intensity_y,flood_risk_score_y,exposure_condition,last_rehab_year
BR-PUN-00001,2015,11,,4958.0,3.0,206.0,25.8,0.36,0.13,8,8,7,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Punjab,District_Punjab_1,31.5182,75.1103,StateHighway,2004,PSC,Box,2,29.9,50.8,10.0,3,4958,3.0,206.0,25.8,0.36,0.13,Mild,0
BR-PUN-00001,2018,14,,,3.0,206.0,25.8,0.36,0.13,7,8,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Punjab,District_Punjab_1,31.5182,75.1103,StateHighway,2004,PSC,Box,2,29.9,50.8,10.0,3,4958,3.0,206.0,25.8,0.36,0.13,Mild,0
BR-PUN-00001,2021,17,,4958.0,3.0,206.0,25.8,0.36,0.13,7,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Punjab,District_Punjab_1,31.5182,75.1103,StateHighway,2004,PSC,Box,2,29.9,50.8,10.0,3,4958,3.0,206.0,25.8,0.36,0.13,Mild,0
BR-PUN-00001,2024,20,,4958.0,3.0,206.0,25.8,0.36,0.13,7,8,7,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Punjab,District_Punjab_1,31.5182,75.1103,StateHighway,2004,PSC,Box,2,29.9,50.8,10.0,3,4958,3.0,206.0,25.8,0.36,0.13,Mild,0
BR-BIH-00002,2018,3,,486.0,6.1,1800.0,24.2,0.92,0.66,9,9,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Bihar,District_Bihar_2,26.2738,86.4079,DistrictRoad,2015,RCC,Box,2,20.1,33.2,7.7,2,486,6.1,1800.0,24.2,0.92,0.66,Moderate,2023
BR-BIH-00002,2021,6,,486.0,6.1,1800.0,24.2,0.92,0.66,7,8,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Bihar,District_Bihar_2,26.2738,86.4079,DistrictRoad,2015,RCC,Box,2,20.1,33.2,7.7,2,486,6.1,1800.0,24.2,0.92,0.66,Moderate,2023
BR-BIH-00002,2024,9,1.0,486.0,6.1,1800.0,24.2,0.92,0.66,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Bihar,District_Bihar_2,26.2738,86.4079,DistrictRoad,2015,RCC,Box,2,20.1,33.2,7.7,2,486,6.1,1800.0,24.2,0.92,0.66,Moderate,2023
BR-TAM-00003,2013,4,,4736.0,6.4,246.0,29.6,0.71,0.44,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00003,2015,6,,4736.0,6.4,246.0,29.6,0.71,0.44,8,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00003,2017,8,,4736.0,,246.0,29.6,0.71,0.44,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00003,2019,10,,4736.0,6.4,246.0,29.6,0.71,0.44,7,8,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00003,2021,12,,4736.0,6.4,246.0,29.6,0.71,0.44,6,7,8,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00003,2023,14,,4736.0,,246.0,29.6,0.71,0.44,7,7,7,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_3,12.7037,76.8953,StateHighway,2009,RCC,Girder,2,21.1,37.6,8.3,2,4736,6.4,246.0,29.6,0.71,0.44,Severe,0
BR-TAM-00004,2002,14,,24589.0,16.5,835.0,29.0,0.29,0.16,7,8,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2005,17,,24589.0,16.5,835.0,29.0,0.29,0.16,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2008,20,,24589.0,16.5,835.0,29.0,0.29,0.16,7,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2011,23,,24589.0,16.5,835.0,29.0,0.29,0.16,7,7,7,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2014,26,,,16.5,835.0,29.0,0.29,0.16,6,7,7,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2017,29,,24589.0,,835.0,29.0,,0.16,7,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2020,32,,24589.0,16.5,835.0,29.0,0.29,0.16,6,7,7,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-TAM-00004,2023,35,,24589.0,16.5,835.0,29.0,0.29,0.16,6,6,5,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,TamilNadu,District_TamilNadu_4,10.4211,79.7405,NationalHighway,1988,Masonry,Arch,5,40.8,143.9,10.3,3,24589,16.5,835.0,29.0,0.29,0.16,Moderate,0
BR-ODI-00005,2012,40,,807.0,21.4,1150.0,26.4,0.64,0.39,6,6,6,6,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2014,42,,807.0,21.4,1150.0,26.4,0.64,0.39,5,6,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2016,44,,807.0,21.4,1150.0,26.4,0.64,0.39,5,5,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2018,46,,807.0,21.4,1150.0,26.4,0.64,0.39,6,5,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2020,48,,,21.4,1150.0,26.4,,0.39,5,5,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2022,50,,807.0,21.4,,26.4,0.64,0.39,5,5,6,5,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-ODI-00005,2024,52,,807.0,21.4,1150.0,26.4,0.64,0.39,5,6,4,4,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Odisha,District_Odisha_5,19.2144,84.1242,DistrictRoad,1972,Masonry,Arch,3,35.5,91.5,10.0,3,807,21.4,1150.0,26.4,0.64,0.39,Moderate,0
BR-RAJ-00006,2015,1,,142.0,9.6,547.0,25.2,0.27,0.17,8,9,9,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_6,25.9301,72.378,DistrictRoad,2014,Masonry,Arch,4,13.3,46.3,5.4,2,142,9.6,547.0,25.2,0.27,0.17,Mild,2023
BR-RAJ-00006,2018,4,,142.0,9.6,547.0,25.2,0.27,0.17,8,8,9,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_6,25.9301,72.378,DistrictRoad,2014,Masonry,Arch,4,13.3,46.3,5.4,2,142,9.6,547.0,25.2,0.27,0.17,Mild,2023
BR-RAJ-00006,2021,7,,142.0,9.6,547.0,25.2,0.27,0.17,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_6,25.9301,72.378,DistrictRoad,2014,Masonry,Arch,4,13.3,46.3,5.4,2,142,9.6,547.0,25.2,0.27,0.17,Mild,2023
BR-RAJ-00006,2024,10,1.0,142.0,9.6,547.0,25.2,0.27,0.17,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Rajasthan,District_Rajasthan_6,25.9301,72.378,DistrictRoad,2014,Masonry,Arch,4,13.3,46.3,5.4,2,142,9.6,547.0,25.2,0.27,0.17,Mild,2023
BR-ASS-00007,2015,1,,1539.0,14.4,2157.0,27.5,0.81,0.55,9,9,9,9,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Assam,District_Assam_7,26.4283,90.9726,DistrictRoad,2014,Steel,Girder,1,15.7,11.5,5.5,2,1539,14.4,2157.0,27.5,0.81,0.55,Moderate,2022
BR-ASS-00007,2017,3,,1539.0,14.4,,27.5,0.81,0.55,9,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Assam,District_Assam_7,26.4283,90.9726,DistrictRoad,2014,Steel,Girder,1,15.7,11.5,5.5,2,1539,14.4,2157.0,27.5,0.81,0.55,Moderate,2022
BR-ASS-00007,2019,5,,1539.0,14.4,2157.0,27.5,0.81,0.55,8,8,9,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Assam,District_Assam_7,26.4283,90.9726,DistrictRoad,2014,Steel,Girder,1,15.7,11.5,5.5,2,1539,14.4,2157.0,27.5,0.81,0.55,Moderate,2022
BR-ASS-00007,2021,7,,1539.0,14.4,2157.0,27.5,0.81,0.55,7,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Assam,District_Assam_7,26.4283,90.9726,DistrictRoad,2014,Steel,Girder,1,15.7,11.5,5.5,2,1539,14.4,2157.0,27.5,0.81,0.55,Moderate,2022
BR-ASS-00007,2023,9,1.0,1539.0,14.4,2157.0,27.5,0.81,0.55,8,7,8,7,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,Assam,District_Assam_7,26.4283,90.9726,DistrictRoad,2014,Steel,Girder,1,15.7,11.5,5.5,2,1539,14.4,2157.0,27.5,0.81,0.55,Moderate,2022
BR-WES-00008,2007,8,,1743.0,,2031.0,24.8,0.9,0.44,8,8,8,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,WestBengal,District_WestBengal_8,22.8571,87.5882,DistrictRoad,1999,PSC,Girder,2,20.4,30.0,8.8,3,1743,14.7,2031.0,24.8,0.9,0.44,Severe,2010
BR-WES-00008,2009,10,,1743.0,14.7,2031.0,24.8,,0.44,8,8,9,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,WestBengal,District_WestBengal_8,22.8571,87.5882,DistrictRoad,1999,PSC,Girder,2,20.4,30.0,8.8,3,1743,14.7,2031.0,24.8,0.9,0.44,Severe,2010
BR-WES-00008,2011,12,1.0,1743.0,14.7,2031.0,24.8,0.9,0.44,8,8,9,8,Synthetic India-inspired data - for prototype/showcase purposes. Not real inspection data.,WestBengal,District_WestBengal_8,22.8571,87.5882,DistrictRoad,1999,PSC,Girder,2,20.4,30.0,8.8,3,1743,14.7,2031.0,24.8,0.9,0.44,Severe,2010
